Program,Method, Result
coap,Claude Code + GPT5.4,0
eventperiodic,Claude Code + GPT5.4,1
flash,Claude Code + GPT5.4,0
irq,Claude Code + GPT5.4,1
mbox,Claude Code + GPT5.4,0
mma,Claude Code + GPT5.4,1
mpu,Claude Code + GPT5.4,0
pahomqtt,Claude Code + GPT5.4,0
rtc,Claude Code + GPT5.4,0
thread,Claude Code + GPT5.4,1
posixsockets,Claude Code + GPT5.4,0
xtimer,Claude Code + GPT5.4,1
dht11_monitor,Claude Code + GPT5.4,1
dht11_sensor,Claude Code + GPT5.4,1
emcute,Claude Code + GPT5.4,0
ipc_msg,Claude Code + GPT5.4,1
mpu6050_loop,Claude Code + GPT5.4,0
breathing_led,Claude Code + GPT5.4,1
fall_detection,Claude Code + GPT5.4,0
impact_recorder,Claude Code + GPT5.4,0
imu_mqtt,Claude Code + GPT5.4,0
mpu6050_mqtt_loop,Claude Code + GPT5.4,0
coap,Cursor + Composer 2 Fast,1
eventperiodic,Cursor + Composer 2 Fast,1
flash,Cursor + Composer 2 Fast,1
irq,Cursor + Composer 2 Fast,1
mbox,Cursor + Composer 2 Fast,0
mma,Cursor + Composer 2 Fast,1
mpu9x50,Cursor + Composer 2 Fast,0
pahomqtt,Cursor + Composer 2 Fast,0
rtc,Cursor + Composer 2 Fast,1
thread,Cursor + Composer 2 Fast,1
posixsockets,Cursor + Composer 2 Fast,0
xtimer,Cursor + Composer 2 Fast,1
dht11_monitor,Cursor + Composer 2 Fast,1
dht11_sensor,Cursor + Composer 2 Fast,0
emcute,Cursor + Composer 2 Fast,0
ipc_msg,Cursor + Composer 2 Fast,1
mpu6050_loop,Cursor + Composer 2 Fast,0
breathing_led,Cursor + Composer 2 Fast,1
fall_detection,Cursor + Composer 2 Fast,1
impact_recorder,Cursor + Composer 2 Fast,1
imu_mqtt,Cursor + Composer 2 Fast,0
mpu6050_mqtt_loop,Cursor + Composer 2 Fast,0
coap,Claude + Claude Sonnet 4.6,0
eventperiodic,Claude + Claude Sonnet 4.6,1
flash,Claude + Claude Sonnet 4.6,1
irq,Claude + Claude Sonnet 4.6,1
mbox,Claude + Claude Sonnet 4.6,1
mma,Claude + Claude Sonnet 4.6,1
mpu9x50,Claude + Claude Sonnet 4.6,0
pahomqtt,Claude + Claude Sonnet 4.6,0
rtc,Claude + Claude Sonnet 4.6,1
thread,Claude + Claude Sonnet 4.6,1
posixsockets,Claude + Claude Sonnet 4.6,0
xtimer,Claude + Claude Sonnet 4.6,1
dht11_monitor,Claude + Claude Sonnet 4.6,1
dht11_sensor,Claude + Claude Sonnet 4.6,1
emcute,Claude + Claude Sonnet 4.6,0
ipc_msg,Claude + Claude Sonnet 4.6,1
mpu6050_loop,Claude + Claude Sonnet 4.6,0
breathing_led,Claude + Claude Sonnet 4.6,0
fall_detection,Claude + Claude Sonnet 4.6,0
impact_recorder,Claude + Claude Sonnet 4.6,0
imu_mqtt,Claude + Claude Sonnet 4.6,0
mpu6050_mqtt_loop,Claude + Claude Sonnet 4.6,0
coap,AutoIoT + DeepSeek V3.2,1
eventperiodic,AutoIoT + DeepSeek V3.2,1
flash,AutoIoT + DeepSeek V3.2,1
irq,AutoIoT + DeepSeek V3.2,1
mbox,AutoIoT + DeepSeek V3.2,1
mma,AutoIoT + DeepSeek V3.2,1
mpu9x50,AutoIoT + DeepSeek V3.2,1
pahomqtt,AutoIoT + DeepSeek V3.2,1
rtc,AutoIoT + DeepSeek V3.2,1
thread,AutoIoT + DeepSeek V3.2,1
posixsockets,AutoIoT + DeepSeek V3.2,0
xtimer,AutoIoT + DeepSeek V3.2,1
dht11_monitor,AutoIoT + DeepSeek V3.2,1
dht11_sensor,AutoIoT + DeepSeek V3.2,1
emcute,AutoIoT + DeepSeek V3.2,1
ipc_msg,AutoIoT + DeepSeek V3.2,1
mpu6050_loop,AutoIoT + DeepSeek V3.2,1
breathing_led,AutoIoT + DeepSeek V3.2,1
fall_detection,AutoIoT + DeepSeek V3.2,1
impact_recorder,AutoIoT + DeepSeek V3.2,1
imu_mqtt,AutoIoT + DeepSeek V3.2,0
mpu6050_mqtt_loop,AutoIoT + DeepSeek V3.2,1
coap,ChatIoT + DeepSeek V3.2,0
eventperiodic,ChatIoT + DeepSeek V3.2,1
flash,ChatIoT + DeepSeek V3.2,1
irq,ChatIoT + DeepSeek V3.2,1
mbox,ChatIoT + DeepSeek V3.2,1
mma,ChatIoT + DeepSeek V3.2,1
mpu9x50,ChatIoT + DeepSeek V3.2,0
